               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,             0.12975,            0.056366,            0.011398,             0.47885,             0.26216,             0.25317,            0.098141,             0.12019,            0.037096,            0.015378,           0.0092278,           0.0092278,           0.0092278
                  80,              0.1292,            0.055285,            0.010563,             0.40076,             0.28634,             0.25346,            0.098354,             0.12015,            0.037119,            0.015339,           0.0092179,           0.0092179,           0.0092179
                  81,             0.12942,            0.055538,            0.010385,             0.40009,             0.28715,             0.25434,            0.098594,             0.12012,            0.037105,            0.015312,            0.009208,            0.009208,            0.009208
                  82,             0.12971,            0.055313,            0.010326,             0.39683,             0.28884,             0.25519,            0.098452,             0.12008,            0.037121,            0.015295,           0.0091981,           0.0091981,           0.0091981
                  83,             0.12976,            0.055636,             0.01021,             0.42214,             0.27641,             0.25523,            0.098758,             0.12004,            0.037132,            0.015272,           0.0091882,           0.0091882,           0.0091882
                  84,             0.12943,            0.055249,            0.010275,             0.42822,             0.27621,             0.25597,            0.099028,                0.12,            0.037136,            0.015242,           0.0091783,           0.0091783,           0.0091783
                  85,             0.12941,            0.055562,            0.010173,             0.43755,             0.27375,             0.25641,            0.099195,             0.11996,            0.037151,            0.015217,           0.0091684,           0.0091684,           0.0091684
                  86,              0.1297,            0.055413,            0.011018,             0.44172,             0.27284,             0.25695,            0.099434,             0.11991,            0.037151,             0.01519,           0.0091585,           0.0091585,           0.0091585
                  87,             0.12957,             0.05527,            0.010929,              0.4481,             0.27254,              0.2577,            0.099563,             0.11987,            0.037146,            0.015153,           0.0091486,           0.0091486,           0.0091486
                  88,             0.12925,            0.055856,            0.010507,             0.40641,             0.28944,             0.25819,            0.099922,             0.11983,            0.037171,            0.015122,           0.0091387,           0.0091387,           0.0091387
                  89,              0.1294,            0.055975,            0.010535,             0.40865,             0.29068,             0.25839,             0.10002,             0.11979,            0.037162,            0.015098,           0.0091288,           0.0091288,           0.0091288
                  90,              0.1298,             0.05579,            0.010259,             0.40763,             0.29215,             0.25906,             0.10008,             0.11974,            0.037192,            0.015072,           0.0091189,           0.0091189,           0.0091189
                  91,              0.1289,            0.055624,            0.010617,             0.42334,             0.29018,             0.25978,             0.10074,              0.1197,            0.037178,            0.015035,            0.009109,            0.009109,            0.009109
                  92,             0.12905,            0.054962,            0.010898,             0.41857,             0.29393,             0.26143,             0.10111,             0.11966,            0.037199,            0.015009,           0.0090991,           0.0090991,           0.0090991
                  93,             0.12951,            0.056051,            0.010816,             0.42281,             0.29362,             0.26186,             0.10095,             0.11962,            0.037194,            0.014985,           0.0090892,           0.0090892,           0.0090892
                  94,             0.12944,            0.056002,           0.0099518,             0.42066,             0.29394,             0.26164,             0.10108,             0.11958,            0.037187,            0.014962,           0.0090793,           0.0090793,           0.0090793
                  95,             0.12905,            0.055786,            0.010062,             0.42126,             0.29558,              0.2621,              0.1014,             0.11954,            0.037211,            0.014951,           0.0090694,           0.0090694,           0.0090694
                  96,             0.12889,            0.055912,            0.010167,             0.44423,             0.28299,             0.26192,             0.10154,              0.1195,            0.037218,            0.014928,           0.0090595,           0.0090595,           0.0090595
                  97,             0.12927,            0.055064,            0.010463,             0.43558,             0.28961,             0.26345,             0.10187,             0.11946,            0.037229,            0.014905,           0.0090496,           0.0090496,           0.0090496
                  98,             0.12924,            0.056237,            0.010298,             0.45958,             0.28362,              0.2646,             0.10226,             0.11941,            0.037212,             0.01489,           0.0090397,           0.0090397,           0.0090397
                  99,             0.12919,            0.056013,           0.0099401,             0.47662,             0.27993,             0.26511,             0.10228,             0.11937,            0.037257,            0.014876,           0.0090298,           0.0090298,           0.0090298
                 100,              0.1294,            0.056041,             0.01065,             0.47639,             0.28117,              0.2658,             0.10246,             0.11933,            0.037244,            0.014861,           0.0090199,           0.0090199,           0.0090199
                 101,             0.12924,            0.055816,            0.010021,             0.48268,             0.28086,             0.26634,             0.10285,             0.11929,            0.037244,            0.014842,             0.00901,             0.00901,             0.00901
                 102,             0.12911,            0.055391,            0.010285,             0.48606,             0.28039,             0.26695,              0.1031,             0.11925,             0.03724,            0.014818,           0.0090001,           0.0090001,           0.0090001
                 103,             0.12921,             0.05579,            0.009763,             0.49652,             0.27824,             0.26715,             0.10323,             0.11921,            0.037268,            0.014799,           0.0089902,           0.0089902,           0.0089902
                 104,             0.12904,            0.055439,           0.0099773,             0.50601,              0.2766,             0.26796,             0.10369,             0.11916,            0.037287,            0.014772,           0.0089803,           0.0089803,           0.0089803
                 105,             0.12886,            0.055815,           0.0097908,             0.50615,             0.27672,              0.2688,             0.10443,             0.11911,            0.037271,            0.014761,           0.0089704,           0.0089704,           0.0089704
                 106,             0.12948,            0.055252,           0.0099571,             0.48376,             0.28337,             0.26896,              0.1045,             0.11907,            0.037282,            0.014748,           0.0089605,           0.0089605,           0.0089605
